Id_detalleordencompra,Fpago,TOTAL,cantidad,tipo_servicio,Fraccionamiento,lote
15658,28/02/2012,596.4162,1.0,CUOTA FIJA,HIPICO II,323.0
15660,30/04/2012,445.77,1.0,MEDIDO,HIPICO II,323.0
15672,30/06/2012,644.78,1.0,MEDIDO,HIPICO II,323.0
15683,31/08/2012,345.63,1.0,MEDIDO,HIPICO II,323.0
15692,31/10/2012,456.08,1.0,MEDIDO,HIPICO II,323.0
15701,31/12/2012,569.03,1.0,MEDIDO,HIPICO II,323.0
15709,28/02/2013,816.98,1.0,MEDIDO,HIPICO II,323.0
15713,30/04/2013,930.51,1.0,MEDIDO,HIPICO II,323.0
17751,29/02/2012,399.85,1.0,MEDIDO,FINCAS,1585.0
17752,30/04/2012,661.41,1.0,MEDIDO,FINCAS,1585.0
17753,30/06/2012,582.43,1.0,MEDIDO,FINCAS,1585.0
17754,31/08/2012,539.55,1.0,MEDIDO,FINCAS,1585.0
17755,31/10/2012,611.79,1.0,MEDIDO,FINCAS,1585.0
17756,31/12/2012,687.89,1.0,MEDIDO,FINCAS,1585.0
17757,28/02/2013,731.05,1.0,MEDIDO,FINCAS,1585.0
18071,28/02/2012,404.94,1.0,CUOTA FIJA,ENCINOS II,313.0
18073,30/04/2012,411.3,1.0,CUOTA FIJA,ENCINOS II,313.0
18074,30/06/2012,411.94,1.0,CUOTA FIJA,ENCINOS II,313.0
18075,30/08/2012,411.3,1.0,CUOTA FIJA,ENCINOS II,313.0
18076,30/10/2012,411.6,1.0,CUOTA FIJA,ENCINOS II,313.0
18077,30/12/2012,417.02,1.0,CUOTA FIJA,ENCINOS II,313.0
18084,28/02/2012,399.85,1.0,CUOTA FIJA,EUCALIPTOS,340.0
18085,28/04/2012,360.81,1.0,MEDIDO,EUCALIPTOS,340.0
18087,28/06/2012,350.3,1.0,MEDIDO,EUCALIPTOS,340.0
18088,28/08/2012,345.63,1.0,MEDIDO,EUCALIPTOS,340.0
18089,28/10/2012,343.17,1.0,MEDIDO,EUCALIPTOS,340.0
18090,28/12/2012,393.27,1.0,MEDIDO,EUCALIPTOS,340.0
18453,28/02/2013,399.85,1.0,MEDIDO,FINCAS,1754.0
18454,28/02/2013,410.87,1.0,MEDIDO,FINCAS,1754.0
18455,28/02/2013,424.06,1.0,MEDIDO,FINCAS,1754.0
18456,31/03/2013,370.62,1.0,MEDIDO,FINCAS,1754.0
18458,31/03/2013,403.92,1.0,MEDIDO,FINCAS,1754.0
18459,31/03/2013,484.5,1.0,MEDIDO,FINCAS,1754.0
18591,31/03/2013,1679.95,1.0,MEDIDO,FINCAS,1749.0
18593,31/03/2013,400.41,1.0,MEDIDO,FINCAS,1749.0
18594,31/03/2013,647.95,1.0,MEDIDO,FINCAS,1749.0
18595,30/04/2013,863.53,1.0,MEDIDO,FINCAS,1749.0
18596,30/04/2013,343.17,1.0,MEDIDO,FINCAS,1749.0
18597,30/04/2013,516.25,1.0,MEDIDO,FINCAS,1749.0
19089,23/05/2013,360.81,1.0,MEDIDO,FINCAS,534.0
19090,23/05/2013,387.83,1.0,MEDIDO,FINCAS,534.0
19091,23/05/2013,722.99,1.0,MEDIDO,FINCAS,534.0
