id,clave,Fraccionamiento,saldo_deudor,saldo_favor,deuda_neta,estatus_pago,created_at
1,FI-2-0,FINCAS,0,0,0,Al Corriente,08/08/2025
2,FI-1-1,FINCAS,0,0,0,Al Corriente,08/08/2025
3,FI-1-8a,FINCAS,0,0,0,Al Corriente,08/08/2025
4,FI-1-8B,FINCAS,0,0,0,Al Corriente,08/08/2025
5,FI-1-8E,FINCAS,0,0,0,Al Corriente,08/08/2025
6,FI-1-11A,FINCAS,0,0,0,Al Corriente,08/08/2025
7,FI-1-17C,FINCAS,0,0,0,Al Corriente,08/08/2025
8,FI-1-20A,FINCAS,0,0,0,Al Corriente,08/08/2025
9,FI-2-1,FINCAS,0,0,0,Al Corriente,08/08/2025
10,FI-2-5,FINCAS,0,0,0,Al Corriente,08/08/2025
11,FI-2-10,FINCAS,0,0,0,Al Corriente,08/08/2025
12,FI-2-18,FINCAS,0,0,0,Al Corriente,08/08/2025
13,FI-2-19,FINCAS,0,0,0,Al Corriente,08/08/2025
14,FI-2-21,FINCAS,0,0,0,Al Corriente,08/08/2025
15,FI-2A-1,FINCAS,0,0,0,Al Corriente,08/08/2025
16,FI-2A-9,FINCAS,0,0,0,Al Corriente,08/08/2025
17,FI-2B-1,FINCAS,0,0,0,Al Corriente,08/08/2025
18,FI-2B-2,FINCAS,0,0,0,Al Corriente,08/08/2025
19,FI-2B-3,FINCAS,0,0,0,Al Corriente,08/08/2025
20,FI-2B-5,FINCAS,0,0,0,Al Corriente,08/08/2025
21,FI-3-02B,FINCAS,0,0,0,Al Corriente,08/08/2025
22,FI-3-4,FINCAS,0,0,0,Al Corriente,08/08/2025
23,FI-3-12,FINCAS,0,0,0,Al Corriente,08/08/2025
24,FI-4-1,FINCAS,0,0,0,Al Corriente,08/08/2025
25,FI-4-2A,FINCAS,0,0,0,Al Corriente,08/08/2025
26,FI-4-02B,FINCAS,0,0,0,Al Corriente,08/08/2025
27,FI-4-4,FINCAS,0,0,0,Al Corriente,08/08/2025
28,FI-4-09A,FINCAS,0,0,0,Al Corriente,08/08/2025
29,FI-5-02B,FINCAS,0,0,0,Al Corriente,08/08/2025
30,FI-5-03B,FINCAS,0,0,0,Al Corriente,08/08/2025
31,FI-5-05A,FINCAS,0,0,0,Al Corriente,08/08/2025
32,FI-5-13B,FINCAS,0,0,0,Al Corriente,08/08/2025
33,FI-5-14A,FINCAS,0,0,0,Al Corriente,08/08/2025
34,FI-5-16,FINCAS,0,0,0,Al Corriente,08/08/2025
35,FI-6-03B,FINCAS,0,0,0,Al Corriente,08/08/2025
36,FI-6-04B,FINCAS,0,0,0,Al Corriente,08/08/2025
37,FI-06-06B,FINCAS,0,0,0,Al Corriente,08/08/2025
38,FI-6-13,FINCAS,0,0,0,Al Corriente,08/08/2025
39,FI-6-18B,FINCAS,0,0,0,Al Corriente,08/08/2025
40,FI-7-2,FINCAS,0,0,0,Al Corriente,08/08/2025
41,FI-7-3,FINCAS,0,0,0,Al Corriente,08/08/2025
42,FI-7-5,FINCAS,0,0,0,Al Corriente,08/08/2025
43,FI-7-8,FINCAS,0,0,0,Al Corriente,08/08/2025
44,FI-7-13,FINCAS,0,0,0,Al Corriente,08/08/2025
45,FI-7-16,FINCAS,0,0,0,Al Corriente,08/08/2025
46,FI-08A-2,FINCAS,0,0,0,Al Corriente,08/08/2025
47,FI-8-1A,FINCAS,0,0,0,Al Corriente,08/08/2025
48,FI-8-1B,FINCAS,0,0,0,Al Corriente,08/08/2025
49,FI-9-1,FINCAS,0,0,0,Al Corriente,08/08/2025
50,FI-9-6,FINCAS,0,0,0,Al Corriente,08/08/2025
51,FI-9-12,FINCAS,0,0,0,Al Corriente,08/08/2025
52,FI-9-15,FINCAS,0,0,0,Al Corriente,08/08/2025
53,FI-09A-6,FINCAS,0,0,0,Al Corriente,08/08/2025
54,FI-9A-8,FINCAS,0,0,0,Al Corriente,08/08/2025
55,FI-9A-10,FINCAS,0,0,0,Al Corriente,08/08/2025
56,FI-09a-11,FINCAS,0,0,0,Al Corriente,08/08/2025
57,FI-9A-13,FINCAS,0,0,0,Al Corriente,08/08/2025
58,FI-09A-15,FINCAS,0,0,0,Al Corriente,08/08/2025
59,FI-9A-21,FINCAS,0,0,0,Al Corriente,08/08/2025
60,FI-9B-1,FINCAS,0,0,0,Al Corriente,08/08/2025
61,FI-09B-2,FINCAS,0,0,0,Al Corriente,08/08/2025
62,FI-9B-7,FINCAS,0,0,0,Al Corriente,08/08/2025
63,FI-9B-8,FINCAS,0,0,0,Al Corriente,08/08/2025
64,FI-9C-1,FINCAS,0,0,0,Al Corriente,08/08/2025
65,FI-9C-2,FINCAS,0,0,0,Al Corriente,08/08/2025
66,FI-9C-6,FINCAS,0,0,0,Al Corriente,08/08/2025
67,FI-9C-7,FINCAS,0,0,0,Al Corriente,08/08/2025
68,FI-10-9B,FINCAS,0,0,0,Al Corriente,08/08/2025
69,FI-10-12B,FINCAS,0,0,0,Al Corriente,08/08/2025
70,FI-10-15,FINCAS,0,0,0,Al Corriente,08/08/2025
71,FI-10-18B,FINCAS,0,0,0,Al Corriente,08/08/2025
72,FI-10-19B,FINCAS,0,0,0,Al Corriente,08/08/2025
73,FI-10-22A,FINCAS,0,0,0,Al Corriente,08/08/2025
74,FI-10-22B,FINCAS,0,0,0,Al Corriente,08/08/2025
75,FI-10-25A,FINCAS,0,0,0,Al Corriente,08/08/2025
76,FI-10-27B,FINCAS,0,0,0,Al Corriente,08/08/2025
77,FI-10-28A,FINCAS,0,0,0,Al Corriente,08/08/2025
78,FI-10-31B,FINCAS,0,0,0,Al Corriente,08/08/2025
79,FI-10-32A,FINCAS,0,0,0,Al Corriente,08/08/2025
80,FI-10-32B,FINCAS,0,0,0,Al Corriente,08/08/2025
81,FI-10-40A,FINCAS,0,0,0,Al Corriente,08/08/2025
82,FI-10-40B,FINCAS,0,0,0,Al Corriente,08/08/2025
83,FI-10-44A,FINCAS,0,0,0,Al Corriente,08/08/2025
84,FI-10-45,FINCAS,0,0,0,Al Corriente,08/08/2025
85,FI-10-49A,FINCAS,0,0,0,Al Corriente,08/08/2025
86,FI-10-52A,FINCAS,0,0,0,Al Corriente,08/08/2025
87,FI-10-52B,FINCAS,0,0,0,Al Corriente,08/08/2025
88,FI-10-53A,FINCAS,0,0,0,Al Corriente,08/08/2025
89,FI-10-53B,FINCAS,0,0,0,Al Corriente,08/08/2025
90,FI-10-54A,FINCAS,0,0,0,Al Corriente,08/08/2025
91,FI-10-56B,FINCAS,0,0,0,Al Corriente,08/08/2025
92,FI-11-2,FINCAS,0,0,0,Al Corriente,08/08/2025
93,FI-11-7,FINCAS,0,0,0,Al Corriente,08/08/2025
94,FI-11-9,FINCAS,0,0,0,Al Corriente,08/08/2025
95,FI-11-10,FINCAS,0,0,0,Al Corriente,08/08/2025
96,FI-11-14,FINCAS,0,0,0,Al Corriente,08/08/2025
97,FI-11-16,FINCAS,0,0,0,Al Corriente,08/08/2025
98,FI-11-17,FINCAS,0,0,0,Al Corriente,08/08/2025
99,HP-I-1-5,HIPICO I,0,0,0,Al Corriente,08/08/2025
100,HP-I-2-2,HIPICO I,0,0,0,Al Corriente,08/08/2025
101,HP-I-2-3,HIPICO I,0,0,0,Al Corriente,08/08/2025
102,HP-II-1-1C,HIPICO II,0,0,0,Al Corriente,08/08/2025
103,HP-II-1-I-E,HIPICO II,0,0,0,Al Corriente,08/08/2025
104,HP-II-1-1-F,HIPICO II,0,0,0,Al Corriente,08/08/2025
105,HP-II-3-01.2-4,HIPICO II,0,0,0,Al Corriente,08/08/2025
106,HP-II-3-2.1,HIPICO II,0,0,0,Al Corriente,08/08/2025
107,HP-II-3-2,HIPICO II,0,0,0,Al Corriente,08/08/2025
108,HP-II-3-4,HIPICO II,0,0,0,Al Corriente,08/08/2025
109,HP-II-3-4B,HIPICO II,0,0,0,Al Corriente,08/08/2025
110,AL-I-0-0,ALAMO 1,0,0,0,Al Corriente,08/08/2025
111,AL-I-1-5,ALAMO 1,0,0,0,Al Corriente,08/08/2025
112,AL-I-1-11,ALAMO 1,0,0,0,Al Corriente,08/08/2025
113,AL-I-2-1,ALAMO 1,0,0,0,Al Corriente,08/08/2025
114,AL-I-2-2,ALAMO 1,0,0,0,Al Corriente,08/08/2025
115,AL-I-2-6,ALAMO 1,0,0,0,Al Corriente,08/08/2025
116,AL-I-2-11,ALAMO 1,0,0,0,Al Corriente,08/08/2025
117,AL-I-2-13,ALAMO 1,0,0,0,Al Corriente,08/08/2025
118,AL-I-4-1,ALAMO 1,0,0,0,Al Corriente,08/08/2025
119,AL-I-4-9,ALAMO 1,0,0,0,Al Corriente,08/08/2025
120,AL-I-4-13,ALAMO 1,0,0,0,Al Corriente,08/08/2025
121,AL-I-5-1,ALAMO 1,0,0,0,Al Corriente,08/08/2025
122,AL-I-5-2,ALAMO 1,0,0,0,Al Corriente,08/08/2025
123,AL-I-6-2,ALAMO 1,0,0,0,Al Corriente,08/08/2025
124,AL-I-7-7,ALAMO 1,0,0,0,Al Corriente,08/08/2025
125,AL-I-7-11,ALAMO 1,0,0,0,Al Corriente,08/08/2025
126,AL-I-7-12,ALAMO 1,0,0,0,Al Corriente,08/08/2025
127,AL-I-7-13,ALAMO 1,0,0,0,Al Corriente,08/08/2025
128,AL-I-7-18,ALAMO 1,0,0,0,Al Corriente,08/08/2025
129,AL-I-7-19,ALAMO 1,0,0,0,Al Corriente,08/08/2025
130,AL-I-7-20,ALAMO 1,0,0,0,Al Corriente,08/08/2025
131,AL-I-8-2,ALAMO 1,0,0,0,Al Corriente,08/08/2025
132,AL-I-8-3,ALAMO 1,0,0,0,Al Corriente,08/08/2025
133,AL-I-8-5,ALAMO 1,0,0,0,Al Corriente,08/08/2025
134,AL-I-8-9,ALAMO 1,0,0,0,Al Corriente,08/08/2025
135,AL-I-8-10,ALAMO 1,0,0,0,Al Corriente,08/08/2025
136,AL-I-8-29,ALAMO 1,0,0,0,Al Corriente,08/08/2025
137,AL-I-9-1,ALAMO 1,0,0,0,Al Corriente,08/08/2025
138,AL-I-9-3,ALAMO 1,0,0,0,Al Corriente,08/08/2025
139,AL-I-9-4,ALAMO 1,0,0,0,Al Corriente,08/08/2025
140,AL-I-9-5,ALAMO 1,0,0,0,Al Corriente,08/08/2025
141,AL-I-9-9,ALAMO 1,0,0,0,Al Corriente,08/08/2025
142,AL-I-9-12,ALAMO 1,0,0,0,Al Corriente,08/08/2025
143,AL-I-9-16,ALAMO 1,0,0,0,Al Corriente,08/08/2025
144,AL-I-9-17,ALAMO 1,0,0,0,Al Corriente,08/08/2025
145,AL-I-9-19,ALAMO 1,0,0,0,Al Corriente,08/08/2025
146,AL-I-9-20,ALAMO 1,0,0,0,Al Corriente,08/08/2025
147,AL-I-9-21,ALAMO 1,0,0,0,Al Corriente,08/08/2025
148,AL-I-9-25,ALAMO 1,0,0,0,Al Corriente,08/08/2025
149,AL-I-9-26,ALAMO 1,0,0,0,Al Corriente,08/08/2025
150,AL-I-9-31,ALAMO 1,0,0,0,Al Corriente,08/08/2025
151,AL-I-9-36,ALAMO 1,0,0,0,Al Corriente,08/08/2025
152,AL-I-9-38,ALAMO 1,0,0,0,Al Corriente,08/08/2025
153,AL-I-10-3,ALAMO 1,0,0,0,Al Corriente,08/08/2025
154,AL-I-10-4,ALAMO 1,0,0,0,Al Corriente,08/08/2025
155,AL-I-10-7,ALAMO 1,0,0,0,Al Corriente,08/08/2025
156,AL-I-10-9,ALAMO 1,0,0,0,Al Corriente,08/08/2025
157,AL-I-11-11,ALAMO 1,0,0,0,Al Corriente,08/08/2025
158,AL-I-12-2,ALAMO 1,0,0,0,Al Corriente,08/08/2025
159,AL-I-12-4,ALAMO 1,0,0,0,Al Corriente,08/08/2025
160,AL-I-12-9,ALAMO 1,0,0,0,Al Corriente,08/08/2025
161,AL-I-12-14,ALAMO 1,0,0,0,Al Corriente,08/08/2025
162,AL-I-12-18,ALAMO 1,0,0,0,Al Corriente,08/08/2025
163,AL-I-12-21,ALAMO 1,0,0,0,Al Corriente,08/08/2025
164,AL-II-13-8,ALAMO 2,0,0,0,Al Corriente,08/08/2025
165,AL-II-13-10,ALAMO 2,0,0,0,Al Corriente,08/08/2025
166,AL-II-14-2,ALAMO 2,0,0,0,Al Corriente,08/08/2025
167,AL-II-14-10,ALAMO 2,0,0,0,Al Corriente,08/08/2025
168,AL-II-14-11,ALAMO 2,0,0,0,Al Corriente,08/08/2025
169,AL-II-15-7,ALAMO 2,0,0,0,Al Corriente,08/08/2025
170,AL-II-16-2,ALAMO 2,0,0,0,Al Corriente,08/08/2025
171,AL-II-16-3,ALAMO 2,0,0,0,Al Corriente,08/08/2025
172,AL-II-16-6,ALAMO 2,0,0,0,Al Corriente,08/08/2025
173,AL-II-16-9,ALAMO 2,0,0,0,Al Corriente,08/08/2025
174,AL-II-17-3,ALAMO 2,0,0,0,Al Corriente,08/08/2025
175,AL-II-17-II ,ALAMO 2,0,0,0,Al Corriente,08/08/2025
176,AL-II-17-III,ALAMO 2,0,0,0,Al Corriente,08/08/2025
177,AL-II-17-IV,ALAMO 2,0,0,0,Al Corriente,08/08/2025
178,AL-II-17-V,ALAMO 2,0,0,0,Al Corriente,08/08/2025
179,AL-II-18-1,ALAMO 2,0,0,0,Al Corriente,08/08/2025
180,AL-II-18-7,ALAMO 2,0,0,0,Al Corriente,08/08/2025
181,AL-II-18-13,ALAMO 2,0,0,0,Al Corriente,08/08/2025
182,AL-II-19-2,ALAMO 2,0,0,0,Al Corriente,08/08/2025
183,AL-II-19-4,ALAMO 2,0,0,0,Al Corriente,08/08/2025
