order_id,customer_id,customer_loyalty_tier,customer_acquisition_channel,customer_signup_date,restaurant_id,restaurant_cuisine,restaurant_city,restaurant_rating,restaurant_avg_prep_time,menu_item_id,menu_item_name,menu_item_category,item_price,quantity,order_timestamp,delivery_timestamp,delivery_duration_actual,delivery_duration_estimated,delivery_fee,tip,total_amount,discount_code,discount_type,discount_value,order_status,weather_temperature,weather_precipitation,is_weekend,is_holiday,event_flag,delivery_delay,order_hour,order_day_of_week,calculated_total,total_amount_consistent
4002,925,Gold,social_media,2024-07-22,124,American,Los Angeles,3.6,23,669,Threat Sushi,Sushi,24.86,1,2023-01-01 00:10:17,2023-01-01 01:09:17,59.0,48,3.48,2.05,25.42,PROMO-BFUZ,percentage,4.97,completed,2.9,25.6,True,True,None,11.0,0,6,25.42,True
4879,3163,Bronze,referral,2023-03-17,43,Chinese,Houston,4.8,32,231,Sound Dessert,Dessert,15.25,1,2023-01-01 00:29:15,2023-01-01 01:26:15,57.0,54,5.24,2.21,22.7,None,None,0.0,completed,4.0,0.4,True,True,None,3.0,0,6,22.7,True
1124,4154,Bronze,referral,2023-01-14,188,American,San Antonio,3.4,11,1039,Whatever Main Course,Main Course,18.5,1,2023-01-01 04:06:27,2023-01-01 04:47:27,41.0,29,5.95,3.29,27.74,None,None,0.0,completed,4.4,0.0,True,True,None,12.0,4,6,27.74,True
6764,4530,Bronze,email,2024-02-26,91,Mediterranean,New York,3.1,17,487,Black Main Course,Main Course,24.51,1,2023-01-01 05:05:28,2023-01-01 05:55:28,50.0,42,7.27,0.07,31.85,None,None,0.0,completed,9.9,0.0,True,True,None,8.0,5,6,31.85,True
9073,2570,Bronze,paid_ads,2024-08-25,84,Mediterranean,San Antonio,3.2,28,442,Physical Pasta,Pasta,23.5,1,2023-01-01 08:46:51,2023-01-01 09:55:51,69.0,52,4.06,0.9,28.46,None,None,0.0,completed,7.0,16.1,True,True,None,17.0,8,6,28.46,True
7005,2816,Bronze,email,2023-05-28,161,American,Houston,3.8,15,878,Sell Beverage,Beverage,24.09,2,2023-01-01 10:33:29,2023-01-01 11:10:29,37.0,35,4.95,10.87,64.0,None,None,0.0,completed,2.3,1.5,True,True,None,2.0,10,6,64.0,True
9422,6973,Bronze,paid_ads,2024-06-24,53,Fast Food,Houston,4.7,15,274,Turn Burger,Burger,30.25,4,2023-01-01 11:04:47,2023-01-01 11:48:47,44.0,27,3.1,14.97,139.07,None,None,0.0,completed,6.8,0.5,True,True,None,17.0,11,6,139.07,True
7068,4579,Gold,paid_ads,2023-11-29,116,Indian,San Diego,4.4,12,618,Ago Sushi,Sushi,29.7,1,2023-01-01 15:48:18,2023-01-01 16:31:18,43.0,32,3.84,3.65,37.19,None,None,0.0,completed,1.2,0.0,True,True,None,11.0,15,6,37.19,True
9274,4463,Silver,referral,2024-07-26,187,Chinese,Chicago,3.6,10,1027,Building Burger,Burger,34.3,1,2023-01-01 17:51:54,2023-01-01 18:32:54,41.0,32,2.56,7.21,38.93,PROMO-XWIT,percentage,5.14,completed,1.6,0.0,True,True,None,9.0,17,6,38.93,True
1942,889,Silver,paid_ads,2023-12-29,64,Italian,New York,4.0,15,326,Worry Pizza,Pizza,15.09,1,2023-01-01 18:16:23,2023-01-01 18:43:23,27.0,25,3.18,0.49,18.76,None,None,0.0,completed,2.9,0.0,True,True,None,2.0,18,6,18.76,True
