id_lote,Fraccionamiento,ClaveLote,manzana
2,5,RO-6-03-10,6
3,5,RO-8-01-01,8
4,5,RO-10-01-02,10
5,5,RO-1-02-04,1
6,5,RO-1-03-03,1
7,5,RO-1-06-01,1
8,5,RO-1-17-01,1
10,5,RO-2-01-01,2
11,5,RO-3-01-03,3
12,5,RO-4-01-02,4
13,5,RO-5-01-01,5
14,5,RO-6-02-05,6
15,5,RO-6-03-05,6
16,5,RO-6-03-06,6
17,5,RO-6-03-07,6
18,5,RO-6-03-08,6
19,5,RO-6-03-09,6
20,5,RO-6-03-11,6
21,5,RO-6-03-12,6
22,5,RO-6-03-13,6
23,5,RO-6-03-14,6
24,5,RO-6-03-15,6
25,5,RO-6-03-16,6
26,5,RO-6-03-17,6
27,5,RO-7-01-01,7
28,5,RO-7-02-02,7
29,5,RO-7-02-01,7
30,5,RO-8-01-02,8
31,5,RO-8-01-03,8
32,5,RO-8-01-04,8
33,5,RO-9-01-01,9
34,5,RO-9-01-02,9
35,5,RO-9-01-03,9
36,5,RO-9-01-04,9
37,5,RO-9-01-05,9
38,5,RO-9-01-06,9
39,5,RO-10-01-01,10
40,5,RO-10-01-03,10
41,5,RO-10-01-04,10
42,5,RO-10-01-05,10
43,5,RO-10-01-06,10
44,5,RO-10-01-07,10
45,5,RO-10-01-08,10
46,5,RO-1-01-01,1
47,5,RO-1-02-01,1
48,5,RO-1-02-02,1
49,5,RO-1-02-03,1
50,5,RO-1-02-05,1
51,5,RO-1-02-06,1
52,5,RO-1-02-07,1
53,5,RO-1-02-08,1
54,5,RO-1-02-09,1
55,5,RO-1-02-10,1
56,5,RO-1-02-11,1
57,5,RO-1-02-12,1
58,5,RO-1-03-01,1
59,5,RO-1-03-02,1
60,5,RO-1-03-04,1
61,5,RO-1-03-05,1
62,5,RO-1-03-06,1
63,5,RO-1-03-07,1
64,5,RO-1-03-08,1
65,5,RO-1-03-09,1
66,5,RO-1-03-10,1
67,5,RO-1-03-11,1
68,5,RO-1-04-01,1
69,5,RO-1-05-01,1
70,5,RO-1-07-01,1
71,5,RO-1-08-01,1
72,5,RO-1-09-01,1
73,5,RO-1-10-01,1
74,5,RO-1-11-01,1
75,5,RO-1-12-01,1
76,5,RO-1-13-01,1
77,5,RO-1-14-01,1
78,5,RO-1-15-01,1
79,5,RO-1-16-01,1
80,5,RO-1-18-01,1
81,5,RO-1-19-01,1
101,5,RO-2-01-02,2
102,5,RO-2-01-03,2
103,5,RO-2-01-04,2
104,5,RO-2-01-05,2
105,5,RO-2-01-06,2
106,5,RO-2-01-07,2
107,5,RO-2-01-08,2
108,5,RO-2-01-09,2
109,5,RO-3-01-01,3
110,5,RO-3-01-02,3
111,5,RO-3-01-04,3
112,5,RO-3-01-05,3
113,5,RO-3-01-06,3
114,5,RO-3-01-07,3
115,5,RO-3-01-08,3
116,5,RO-3-01-09,3
117,5,RO-3-01-10,3
118,5,RO-3-01-11,3
119,5,RO-3-01-12,3
120,5,RO-4-01-01,4
121,5,RO-4-01-03,4
122,5,RO-4-01-04,4
123,5,RO-4-01-05,4
124,5,RO-4-01-06,4
125,5,RO-4-01-07,4
126,5,RO-4-01-08,4
127,5,RO-4-01-09,4
128,5,RO-4-01-10,4
129,5,RO-4-01-11,4
130,5,RO-4-01-12,4
131,5,RO-6-01-01,6
132,5,RO-6-01-02,6
133,5,RO-6-01-03,6
134,5,RO-6-01-04,6
135,5,RO-6-01-05,6
136,5,RO-6-01-06,6
137,5,RO-6-02-01,6
