Id,año,messem,sem,finicio,ffin
1,2011,S,1,1/2/2011,1/8/2011
2,2011,S,2,1/9/2011,1/15/2011
3,2011,S,3,1/16/2011,1/22/2011
4,2011,S,4,1/23/2011,1/29/2011
5,2011,S,5,1/30/2011,2/5/2011
6,2011,S,6,2/6/2011,2/12/2011
7,2011,S,7,2/13/2011,2/19/2011
8,2011,S,8,2/20/2011,2/26/2011
9,2011,S,9,2/27/2011,3/5/2011
10,2011,S,10,3/6/2011,3/12/2011
11,2011,S,11,3/13/2011,3/19/2011
12,2011,S,12,3/20/2011,3/26/2011
13,2011,S,13,3/27/2011,4/2/2011
14,2011,S,14,4/3/2011,4/9/2011
15,2011,S,15,4/10/2011,4/16/2011
16,2011,S,16,4/17/2011,4/23/2011
17,2011,S,17,4/24/2011,4/30/2011
18,2011,S,18,5/1/2011,5/7/2011
19,2011,S,19,5/8/2011,5/14/2011
20,2011,S,20,5/15/2011,5/21/2011
21,2011,S,21,5/22/2011,5/28/2011
22,2011,S,22,5/29/2011,6/4/2011
23,2011,S,23,6/5/2011,6/11/2011
24,2011,S,24,6/12/2011,6/18/2011
25,2011,S,25,6/19/2011,6/25/2011
26,2011,S,26,6/26/2011,7/2/2011
27,2011,S,27,7/3/2011,7/9/2011
28,2011,S,28,7/10/2011,7/16/2011
29,2011,S,29,7/17/2011,7/23/2011
30,2011,S,30,7/24/2011,7/30/2011
31,2011,S,31,7/31/2011,8/6/2011
32,2011,S,32,8/7/2011,8/13/2011
33,2011,S,33,8/14/2011,8/20/2011
34,2011,S,34,8/21/2011,8/27/2011
35,2011,S,35,8/28/2011,9/3/2011
36,2011,S,36,9/4/2011,9/10/2011
37,2011,S,37,9/11/2011,9/17/2011
38,2011,S,38,9/18/2011,9/24/2011
39,2011,S,39,9/25/2011,10/1/2011
40,2011,S,40,10/2/2011,10/8/2011
41,2011,S,41,10/9/2011,10/15/2011
42,2011,S,42,10/16/2011,10/22/2011
43,2011,S,43,10/23/2011,10/29/2011
44,2011,S,44,10/30/2011,11/5/2011
45,2011,S,45,11/6/2011,11/12/2011
46,2011,S,46,11/13/2011,11/19/2011
47,2011,S,47,11/20/2011,11/26/2011
48,2011,S,48,11/27/2011,12/3/2011
49,2011,S,49,12/4/2011,12/10/2011
50,2011,S,50,12/11/2011,12/17/2011
51,2011,S,51,12/18/2011,12/24/2011
52,2011,S,52,12/25/2011,12/31/2011
53,2012,S,1,1/1/2012,1/7/2012
54,2012,S,2,1/8/2012,1/14/2012
55,2012,S,3,1/15/2012,1/21/2012
56,2012,S,4,1/22/2012,1/28/2012
57,2012,S,5,1/29/2012,2/4/2012
58,2012,S,6,2/5/2012,2/11/2012
59,2012,S,7,2/12/2012,2/18/2012
60,2012,S,8,2/19/2012,2/25/2012
61,2012,S,9,2/26/2012,3/3/2012
62,2012,S,10,3/4/2012,3/10/2012
63,2012,S,11,3/11/2012,3/17/2012
64,2012,S,12,3/18/2012,3/24/2012
65,2012,S,13,3/25/2012,3/31/2012
66,2012,S,14,4/1/2012,4/7/2012
67,2012,S,15,4/8/2012,4/14/2012
68,2012,S,16,4/15/2012,4/21/2012
69,2012,S,17,4/22/2012,4/28/2012
70,2012,S,18,4/29/2012,5/5/2012
71,2012,S,19,5/6/2012,5/12/2012
72,2012,S,20,5/13/2012,5/19/2012
73,2012,S,21,5/20/2012,5/26/2012
74,2012,S,22,5/27/2012,6/2/2012
75,2012,S,23,6/3/2012,6/9/2012
76,2012,S,24,6/10/2012,6/16/2012
77,2012,S,25,6/17/2012,6/23/2012
78,2012,S,26,6/24/2012,6/30/2012
79,2012,S,27,7/1/2012,7/7/2012
80,2012,S,28,7/8/2012,7/14/2012
81,2012,S,29,7/15/2012,7/21/2012
82,2012,S,30,7/22/2012,7/28/2012
83,2012,S,31,7/29/2012,8/4/2012
84,2012,S,32,8/5/2012,8/11/2012
85,2012,S,33,8/12/2012,8/18/2012
86,2012,S,34,8/19/2012,8/25/2012
87,2012,S,35,8/26/2012,9/1/2012
88,2012,S,36,9/2/2012,9/8/2012
89,2012,S,37,9/9/2012,9/15/2012
90,2012,S,38,9/16/2012,9/22/2012
91,2012,S,39,9/23/2012,9/29/2012
92,2012,S,40,9/30/2012,10/6/2012
93,2012,S,41,10/7/2012,10/13/2012
94,2012,S,42,10/14/2012,10/20/2012
95,2012,S,43,10/21/2012,10/27/2012
96,2012,S,44,10/28/2012,11/3/2012
97,2012,S,45,11/4/2012,11/10/2012
98,2012,S,46,11/11/2012,11/17/2012
99,2012,S,47,11/18/2012,11/24/2012
100,2012,S,48,11/25/2012,12/1/2012
101,2012,S,49,12/2/2012,12/8/2012
102,2012,S,50,12/9/2012,12/15/2012
103,2012,S,51,12/16/2012,12/22/2012
104,2012,S,52,12/23/2012,12/29/2012
105,2013,S,1,12/30/2012,1/5/2013
106,2013,S,2,1/6/2013,1/12/2013
107,2013,S,3,1/13/2013,1/19/2013
108,2013,S,4,1/20/2013,1/26/2013
109,2013,S,5,1/27/2013,2/2/2013
110,2013,S,6,2/3/2013,2/9/2013
111,2013,S,7,2/10/2013,2/16/2013
112,2013,S,8,2/17/2013,2/23/2013
113,2013,S,9,2/24/2013,3/2/2013
114,2013,S,10,3/3/2013,3/9/2013
115,2013,S,11,3/10/2013,3/16/2013
116,2013,S,12,3/17/2013,3/23/2013
117,2013,S,13,3/24/2013,3/30/2013
118,2013,S,14,3/31/2013,4/6/2013
119,2013,S,15,4/7/2013,4/13/2013
120,2013,S,16,4/14/2013,4/20/2013
121,2013,S,17,4/21/2013,4/27/2013
122,2013,S,18,4/28/2013,5/4/2013
123,2013,S,19,5/5/2013,5/11/2013
124,2013,S,20,5/12/2013,5/18/2013
125,2013,S,21,5/19/2013,5/25/2013
126,2013,S,22,5/26/2013,6/1/2013
127,2013,S,23,6/2/2013,6/8/2013
128,2013,S,24,6/9/2013,6/15/2013
129,2013,S,25,6/16/2013,6/22/2013
130,2013,S,26,6/23/2013,6/29/2013
131,2013,S,27,6/30/2013,7/6/2013
132,2013,S,28,7/7/2013,7/13/2013
133,2013,S,29,7/14/2013,7/20/2013
134,2013,S,30,7/21/2013,7/27/2013
135,2013,S,31,7/28/2013,8/3/2013
136,2013,S,32,8/4/2013,8/10/2013
137,2013,S,33,8/11/2013,8/17/2013
138,2013,S,34,8/18/2013,8/24/2013
139,2013,S,35,8/25/2013,8/31/2013
140,2013,S,36,9/1/2013,9/7/2013
141,2013,S,37,9/8/2013,9/14/2013
142,2013,S,38,9/15/2013,9/21/2013
143,2013,S,39,9/22/2013,9/28/2013
144,2013,S,40,9/29/2013,10/5/2013
145,2013,S,41,10/6/2013,10/12/2013
